# el-Cevâhirü'l-mudıyye maddesi <tab> fakih id <tab> (yalnızca okumak için) madde başı · fakih adı
# Madde numarası tools/import_cevahir.py'nin verdiği sıra numarasıdır (kitaptaki sıraya göre, 1'den).
# Eşleşmeler ad zinciri, nisbe ve vefat yılına göre bulunup tek tek elle kontrol edildi.
12	ebu-ishak-ibrahim-b-ismail-es-saffar	إبراهيم بن إسماعيل بن أحمد بن إسحاق بن شيث بن نصر  · إبراهيم بن إسماعيل الصفار
20	ebu-bekir-ibrahim-b-rustem-el-mervezi	إبراهيم بن رستم أبو بكر المروزي · إبراهيم بن رستم المروزي
23	radiyyuddin-ibrahim-b-suleyman-er-rumi-el-konevi	إبراهيم بن سليمان الحموي المنطقي · إبراهيم بن سليمان القونوي
42	ebu-ishak-ibrahim-b-muhammed-b-hamdan-el-muhellebi	إبراهيم بن محمد بن حمدان الخطيب المهدي أبو إسحاق · إبراهيم بن محمد المهلبي
50	ibrahim-b-muhammed-ed-dihistani	إبراهيم بن محمد أبو إسحاق · إبراهيم بن محمد الدهستاني
62	ibrahim-b-yusuf-el-belhi	إبراهيم بن يوسف بن ميمون بن قدامة البلخي وقيل ابن  · إبراهيم بن يوسف البلخي
66	ebul-abbas-ahmed-b-ibrahim-es-seruci	أحمد بن إبراهيم بن عبد الغني بن أبي إسحاق السروجي  · أحمد بن إبراهيم السروجي
76	ebu-nasr-ahmed-b-ishak-b-sis-es-saffar	أحمد بن إسحاق بن شبيب بن نصر بن شبيب أبو نصر · أحمد بن إسحاق الصفار
77	ebu-bekir-ahmed-b-ishak-el-cuzcani	أحمد بن إسحاق المعروف بابن صبيح الجوزجاني أبو بكر · أحمد بن إسحاق الجوزجاني
84	zahireddin-ebul-abbas-ahmed-b-ismail-et-timurtasi	أحمد بن إسماعيل التمرتاشي أبو العباس · أحمد بن إسماعيل التمرتاشي
93	celaleddin-ahmed-b-el-hasan-er-razi-el-enkaravi	أحمد بن الحسن بن أحمد بن الحسن بن أبو شروان قاضي ا · أحمد بن الحسن الرازي الأنقروي
97	sehabeddin-ahmed-b-el-hasan-ibnuz-zerkesi	أحمد بن الحسن عرف بإبن الزركشي شهاب الدين فاضل · أحمد بن الحسن ابن الزركشي
103	kadi-ebu-said-ahmed-b-el-huseyin-el-berdai	أحمد بن الحسين أبو سعيد البردعي · أبو سعيد البردعي
104	ebu-hafs-el-kebir-ahmed-b-hafs-el-buhari	أحمد بن حفص المعروف بأبي حفص الكبير البخاري · أبو حفص الكبير أحمد بن حفص البخاري
111	takiyyuddin-ahmed-b-suleyman-ed-dimaski	أحمد بن سليمان بن أبي العز وهيب · أحمد بن سليمان الدمشقي
112	ebu-hamid-ahmed-b-sehl-el-belhi	أحمد بن سهل · أحمد بن سهل البلخي
116	ebu-nasr-ahmed-b-el-abbas-el-iyazi	أحمد بن العباس بن الحسين بن جبلة بن غالب بن جابر ب · أحمد بن العباس العياضي
120	ebu-nasr-ahmed-b-abdullah-el-hayzahazi	أحمد بن عبد الله بن الفضل أبو نصر الخيزاخزي · أحمد بن عبد الله الخيزاخزي
124	kadi-cemaleddin-ebu-nasr-ahmed-b-abdurrahman-er-rigdemuni	أحمد بن عبد الرحمن بن إسحاق بن أحمد بن عبد الله أب · أحمد بن عبد الرحمن الريغدموني
126	ebu-hamid-ahmed-b-abdurrahman-es-serheki	أحمد بن عبد الرحمن أبو أحمد النيسابوري السرخكي · أحمد بن عبد الرحمن السرخكي
127	kivameddin-ahmed-b-abdurresid-el-buhari	أحمد بن عبد الرشيد البخاري الملقب قوام الدين · أحمد بن عبد الرشيد البخاري
129	tacuddin-ahmed-b-abdulaziz-b-maze	أحمد بن عبد العزيز بن عمر بن مارة المعروف ولده بره · أحمد بن عبد العزيز بن مازه
137	sadrusseria-el-ekber-semseddin-ahmed-b-ubeydullah-el-mahbubi	أحمد بن عبيد الله بن إبراهيم بن أحمد بن عبد الملك  · صدر الشريعة الأكبر أحمد بن عبيد الله المحبوبي
139	tacuddin-ahmed-b-osman-el-mardini-ibnut-turkmani	أحمد بن عثمان · أحمد بن عثمان ابن التركماني
141	ebul-kasim-ahmed-b-ismet-es-saffar	أحمد بن عصمة أبو القاسم الصفار الملقب حم · أحمد بن عصمة الصفار
144	fahreddin-ebu-talib-ahmed-b-ali-el-hemedani-ibnul-fasih	أحمد بن علي بن أحمد أبو طالب الهمداني عرف بإبن الف · ابن الفصيح أحمد بن علي الهمداني
147	muzafferuddin-ahmed-b-ali-ibnus-saati	أحمد بن علي بن تغلب بن أبي الضياء البغدادي البعلبك · ابن الساعاتي أحمد بن علي
148	necmeddin-ibrahim-b-ali-et-tarsusi	أحمد بن علي بن عبد الواحد بن عبد المنعم بن عبد الص · إبراهيم بن علي الطرسوسي
154	ebu-bekir-ahmed-b-ali-el-verrak-et-tirmizi	أحمد بن علي أبو بكر الوراق · أبو بكر الوراق الترمذي
155	ebu-bekir-ahmed-b-ali-er-razi-el-cessas	أحمد بن علي أبو بكر الرازي · أبو بكر الرازي الجصاص
