# Arapça ad	Fukahâ'daki fakih kimliği. Hoca ve talebe adlarından, farklı yazılsa da kaydı olan bir fakihe işaret edenler; elle doğrulandı.
أبو يوسف	imam-ebu-yusuf-yakub-b-ibrahim
محمد بن الحسن	imam-muhammed-b-el-hasan-es-seybani
زفر	zufer-b-el-huzeyl-el-basri
الحسن بن زياد	el-hasan-b-ziyad-el-lului-el-kufi
قاضيخان	fahreddin-kadihan-el-hasan-b-mansur-el-ozcendi
قاضيخان الحسن بن منصور	fahreddin-kadihan-el-hasan-b-mansur-el-ozcendi
حفيده قاضيخان	fahreddin-kadihan-el-hasan-b-mansur-el-ozcendi
صاحب الهداية	burhaneddin-ali-b-ebu-bekir-el-merginani
أبوه صاحب الهداية	burhaneddin-ali-b-ebu-bekir-el-merginani
الطحاوي	ebu-cafer-ahmed-b-muhammed-et-tahavi
الدبوسي	kadi-ebu-zeyd-ubeydullah-b-omer-ed-debusi
ابن المبارك	ebu-abdurrahman-abdullah-b-el-mubarek-el-mervezi
وكيع	ebu-sufyan-veki-b-el-cerrah-el-kufi
حفص بن غياث	hafs-b-giyas-en-nehai-el-kufi
معلى بن منصور	ebu-yahya-mualla-b-mansur-er-razi
إبراهيم بن رستم	ebu-bekir-ibrahim-b-rustem-el-mervezi
أبوه حماد	hammad-b-ebu-hanife
بشر بن الوليد	kadi-bisr-b-el-velid-el-kindi
ابن أخته محمد بن محمود خواهر زاده	bedreddin-haherzade-muhammed-b-mahmud-el-kerderi
ملا خسرو	molla-husrev-muhammed-b-feramurz
المولى يكان	molla-yegan-semseddin-muhammed-b-ademhan
محمد بن أدمغان	molla-yegan-semseddin-muhammed-b-ademhan
محمد بن أدمغان (المولى يكان)	molla-yegan-semseddin-muhammed-b-ademhan
خضر بيك	hizir-bey-b-celaleddin
أبوه خضر بيك	hizir-bey-b-celaleddin
المولى خضر بيك	hizir-bey-b-celaleddin
سنان باشا	sinan-pasa-yusuf-b-hizir-bey
خطيب زاده	hatibzade-muhyiddin-muhammed
خواجه زاده	hocazade-muslihuddin-mustafa-b-yusuf-el-bursevi
خواجه زاده مصطفى	hocazade-muslihuddin-mustafa-b-yusuf-el-bursevi
مؤيد زاده	mueyyedzade-abdurrahman-b-ali-el-amasi
قاضي زاده قاسم	kadizade-kasim-er-rumi
خير الدين خليل بن قاسم	hayreddin-halil-b-kasim
خير الدين معلم السلطان	hayreddin-halil-b-kasim
