# Arapça	Türkçe okunuş (hoca ve talebe adları; fakihlerin kendi sayfası olanlar orada yazıldığı gibi alınır)
أبو الأزهر العبدي	Ebu'l-Ezher el-Abdi
أبو الحسن الدارقطني	Ebu'l-Hasan ed-Darekutni
أبو الحسن علي بن المظفر النيسابوري	Ebu'l-Hasan Ali b. el-Muzaffer en-Nisaburi
أبو الحسن محمد بن أحمد الزعفراني	Ebu'l-Hasan Muhammed b. Ahmed ez-Za'ferani
أبو الربيع سليمان	Ebu'r-Rebi' Süleyman
أبو العباس أحمد السروجي	Ebu'l-Abbas Ahmed es-Serüci
أبو العباس أحمد بن مسعود القونوي	Ebu'l-Abbas Ahmed b. Mes'ud el-Konevi
أبو العباس أحمد بن هارون	Ebu'l-Abbas Ahmed b. Harun
أبو العباس أحمد بن هارون التيان	Ebu'l-Abbas Ahmed b. Harun et-Teyyan
أبو العباس السروجي	Ebu'l-Abbas es-Serüci
أبو العلاء محمود الفرضي	Ebu'l-Ala Mahmud el-Feradi
أبو العلاء محمود الكلاباذي الفرضي	Ebu'l-Ala Mahmud el-Kelabazi el-Feradi
أبو الفتح محمد بن يوسف السمرقندي	Ebu'l-Feth Muhammed b. Yusuf es-Semerkandi
أبو الفضل بن ناصر	Ebu'l-Fadl b. Nasır
أبو الفضل عبد الرحمن الكرماني	Ebu'l-Fadl Abdurrahman el-Kirmani
أبو الفضل عبد الرحمن بن محمد الكرماني	Ebu'l-Fadl Abdurrahman b. Muhammed el-Kirmani
أبو القاسم الصفار	Ebu'l-Kasım es-Saffar
أبو القاسم علي التنوخي	Ebu'l-Kasım Ali et-Tenuhi
أبو الليث نصر بن محمد السمرقندي	Ebu'l-Leys Nasr b. Muhammed es-Semerkandi
أبو المؤيد محمد بن محمود الخوارزمي	Ebu'l-Müeyyed Muhammed b. Mahmud el-Harezmi
أبو المحامد محمود بن أحمد البخاري	Ebu'l-Mehamid Mahmud b. Ahmed el-Buhari
أبو المعالي محمد بن محمد بن زيد	Ebu'l-Meali Muhammed b. Muhammed b. Zeyd
أبو المعالي مسعود بن الحسين الكشاني	Ebu'l-Meali Mes'ud b. el-Hüseyn el-Keşani
أبو المعين ميمون المكحولي	Ebu'l-Muin Meymun el-Mekhuli
أبو المعين ميمون النسفي	Ebu'l-Muin Meymun en-Nesefi
أبو اليسر البزدوي	Ebu'l-Yüsr el-Pezdevi
أبو بكر أحمد الجوزجاني	Ebu Bekir Ahmed el-Cüzcani
أبو بكر أحمد الظهير البلخي	Ebu Bekir Ahmed ez-Zahir el-Belhi
أبو بكر أحمد بن إسحاق الجوزجاني	Ebu Bekir Ahmed b. İshak el-Cüzcani
أبو بكر أحمد بن علي الرازي الجصاص	Ebu Bekir Ahmed b. Ali er-Razi el-Cessas
أبو بكر الأعمش	Ebu Bekir el-A'meş
أبو بكر الأعمش محمد بن سعيد	Ebu Bekir el-A'meş Muhammed b. Said
أبو بكر الإسكاف	Ebu Bekir el-İskaf
أبو بكر الجصاص	Ebu Bekir el-Cessas
أبو بكر الجصاص الرازي	Ebu Bekir el-Cessas er-Razi
أبو بكر القزاز محمد بن علي	Ebu Bekir el-Kazzaz Muhammed b. Ali
أبو بكر الكاساني صاحب البدائع	Ebu Bekir el-Kasani, Bedai' müellifi
أبو بكر الوراق	Ebu Bekir el-Verrak
أبو بكر بن أبي شيبة	Ebu Bekir b. Ebi Şeybe
أبو بكر محمد الخوارزمي	Ebu Bekir Muhammed el-Harezmi
أبو بكر محمد العياضي	Ebu Bekir Muhammed el-Iyazi
أبو بكر محمد بن الحسن بن منصور النسفي	Ebu Bekir Muhammed b. el-Hasan b. Mansur en-Nesefi
أبو بكر محمد بن عبد الله	Ebu Bekir Muhammed b. Abdullah
أبو تمام علي بن محمد الواسطي	Ebu Temmam Ali b. Muhammed el-Vasiti
أبو جعفر أحمد بن أبي عمران	Ebu Ca'fer Ahmed b. Ebi İmran
أبو جعفر الأستروشني	Ebu Ca'fer el-Üsruşeni
أبو جعفر القاضي علي النسفي	Ebu Ca'fer el-Kadi Ali en-Nesefi
أبو حاتم الرازي	Ebu Hatim er-Razi
أبو حامد أحمد بن الحسين المروزي	Ebu Hamid Ahmed b. el-Hüseyn el-Mervezi
أبو حامد الطبري	Ebu Hamid et-Taberi
أبو حفص الكبير	Ebu Hafs el-Kebir
أبو حفص عمر بن منصور الحافظ	Ebu Hafs Ömer b. Mansur el-Hafız
أبو حفص عمر بن منصور بن حبيب	Ebu Hafs Ömer b. Mansur b. Habib
أبو حنيفة	Ebu Hanife
أبو حيان	Ebu Hayyan
أبو داود	Ebu Davud
أبو رجاء محمد بن حمدويه	Ebu Reca Muhammed b. Hamdeveyh
أبو زرعة العراقي	Ebu Zür'a el-Iraki
أبو سعيد الصيرفي	Ebu Said es-Sayrefi
أبو سليمان موسى الجوزجاني	Ebu Süleyman Musa el-Cüzcani
أبو سهل الزجاج	Ebu Sehl ez-Zeccac
أبو سهل هارون بن أحمد الإسفراييني	Ebu Sehl Harun b. Ahmed el-İsferayini
أبو عبد الله الحاكم النيسابوري	Ebu Abdullah el-Hakim en-Nisaburi
أبو عبد الله الحسين بن علي الصيمري	Ebu Abdullah el-Hüseyn b. Ali es-Saymeri
أبو عبد الله بن أبي حفص الكبير	Ebu Abdullah b. Ebi Hafs el-Kebir
أبو عبد الله محمد بن علي الدامغاني	Ebu Abdullah Muhammed b. Ali ed-Damegani
أبو عبد الله محمد بن يحيى الجرجاني	Ebu Abdullah Muhammed b. Yahya el-Cürcani
أبو عبيد القاسم بن سلام	Ebu Ubeyd el-Kasım b. Sellam
أبو عصمة نوح الجامع	Ebu İsme Nuh el-Cami'
أبو علي زاهر بن أحمد السرخسي	Ebu Ali Zahir b. Ahmed es-Serahsi
أبو علي محمد بن أحمد بن الوليد	Ebu Ali Muhammed b. Ahmed b. el-Velid
